,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,400 Meters
761,12619,2006 Outdoor Season                     ,12th Grade,M,255.3,M,53.01
762,12721,2007 Outdoor Season                     ,11th Grade,M,264.81,M,57.94
763,12746,2007 Outdoor Season                     ,12th Grade,M,249.78,M,51.63
764,12789,2005 Outdoor Season                     ,9th Grade,M,277.23,M,61.34
765,12789,2007 Outdoor Season                     ,11th Grade,M,264.36,M,54.86
766,12802,2005 Outdoor Season                     ,9th Grade,M,297.2,M,60.44
767,12802,2006 Outdoor Season                     ,10th Grade,M,285.8,M,59.44
768,12811,2005 Outdoor Season                     ,12th Grade,M,299.2,M,57.71
769,12894,2005 Outdoor Season                     ,9th Grade,M,286.4,M,61.24
770,12930,2005 Outdoor Season                     ,11th Grade,M,280.2,M,59.64
771,12946,2005 Outdoor Season                     ,11th Grade,M,307.0,M,58.58
772,12974,2005 Outdoor Season                     ,11th Grade,M,346.7,M,58.44
773,12974,2006 Outdoor Season                     ,12th Grade,M,348.8,M,57.8
774,12975,2006 Outdoor Season                     ,11th Grade,M,275.13,M,54.63
775,12981,2005 Outdoor Season                     ,12th Grade,M,261.94,M,56.8
776,12982,2008 Outdoor Season                     ,12th Grade,M,267.6,M,59.25
777,13000,2006 Outdoor Season                     ,11th Grade,M,277.9,M,53.84
778,13005,2007 Outdoor Season                     ,11th Grade,M,326.4,M,55.01
779,13007,2006 Outdoor Season                     ,10th Grade,M,352.0,M,70.64
780,13014,2005 Outdoor Season                     ,10th Grade,M,308.2,M,59.15
781,13015,2006 Outdoor Season                     ,11th Grade,M,297.9,M,55.74
782,13020,2006 Outdoor Season                     ,11th Grade,M,265.41,M,54.54
783,13036,2005 Outdoor Season                     ,10th Grade,M,305.02,M,63.34
784,13039,2005 Outdoor Season                     ,9th Grade,M,325.9,M,71.54
785,13084,2005 Outdoor Season                     ,9th Grade,M,308.0,M,62.74
786,13138,2008 Outdoor Season                     ,12th Grade,M,261.66,M,59.45
787,13149,2008 Outdoor Season                     ,12th Grade,M,294.96,M,65.0
788,13227,2005 Outdoor Season                     ,12th Grade,M,278.24,M,58.69
789,13229,2006 Outdoor Season                     ,11th Grade,M,278.4,M,61.92
790,13257,2006 Outdoor Season                     ,10th Grade,M,265.05,M,58.0
791,13257,2008 Outdoor Season                     ,12th Grade,M,255.49,M,56.95
792,13259,2006 Outdoor Season                     ,10th Grade,M,277.0,M,59.6
793,13260,2006 Outdoor Season                     ,10th Grade,M,315.01,M,64.9
794,13262,2006 Outdoor Season                     ,10th Grade,M,275.26,M,60.3
795,13394,2005 Outdoor Season                     ,10th Grade,M,344.7,M,62.24
796,13446,2006 Outdoor Season                     ,12th Grade,M,249.89,M,53.74
797,13474,2007 Outdoor Season                     ,11th Grade,M,319.61,M,61.94
798,13474,2008 Outdoor Season                     ,12th Grade,M,333.4,M,65.37
799,13491,2008 Outdoor Season                     ,12th Grade,M,285.53,M,54.57
