,ID Number,Season,Grade Level,Gender_x,800 Meters,Gender_y,400 Meters
156,1511,2006 Outdoor Season                     ,12th Grade,M,150.33,M,56.36
157,1516,2004 Outdoor Season                     ,10th Grade,M,151.94,M,64.04
158,1516,2005 Outdoor Season                     ,11th Grade,M,151.6,M,65.04
159,1528,2004 Outdoor Season                     ,11th Grade,M,133.46,M,58.34
160,1528,2005 Outdoor Season                     ,12th Grade,M,134.73,M,61.54
161,1529,2004 Outdoor Season                     ,9th Grade,M,154.5,M,63.94
162,1529,2005 Outdoor Season                     ,10th Grade,M,143.9,M,55.35
163,1533,2004 Outdoor Season                     ,12th Grade,M,151.2,M,57.74
164,1536,2004 Outdoor Season                     ,9th Grade,M,145.1,M,63.74
165,1536,2005 Outdoor Season                     ,10th Grade,M,135.5,M,58.04
166,1536,2007 Outdoor Season                     ,12th Grade,M,142.7,M,58.57
167,1537,2004 Outdoor Season                     ,11th Grade,M,174.6,M,74.24
168,1540,2007 Outdoor Season                     ,12th Grade,M,150.93,M,64.34
169,1541,2004 Outdoor Season                     ,9th Grade,M,149.0,M,58.89
170,1549,2004 Outdoor Season                     ,9th Grade,M,134.34,M,58.62
171,1549,2006 Outdoor Season                     ,11th Grade,M,125.44,M,55.54
172,1549,2007 Outdoor Season                     ,12th Grade,M,131.98,M,56.14
173,1603,2002 Outdoor  Season                     ,10th Grade,M,131.2,M,55.14
174,1603,2003 Outdoor  Season                     ,11th Grade,M,125.0,M,55.54
175,1603,2004 Outdoor Season                     ,12th Grade,M,132.0,M,53.94
176,1606,2004 Outdoor Season                     ,12th Grade,M,126.3,M,55.34
177,1607,2004 Outdoor Season                     ,12th Grade,M,118.9,M,49.72
178,1614,2004 Outdoor Season                     ,12th Grade,M,139.0,M,54.54
179,1623,2006 Outdoor Season                     ,11th Grade,M,125.24,M,54.84
180,1623,2007 Outdoor Season                     ,12th Grade,M,128.01,M,56.0
181,1640,2006 Outdoor Season                     ,12th Grade,M,162.5,M,68.04
182,1648,2007 Outdoor Season                     ,12th Grade,M,127.2,M,53.1
183,1670,2006 Outdoor Season                     ,11th Grade,M,136.0,M,53.59
184,1670,2007 Outdoor Season                     ,12th Grade,M,130.42,M,53.52
185,1672,2004 Outdoor Season                     ,11th Grade,M,129.0,M,57.13
186,1674,2005 Outdoor Season                     ,11th Grade,M,125.9,M,58.14
187,1674,2006 Outdoor Season                     ,12th Grade,M,120.12,M,53.24
188,1678,2006 Outdoor Season                     ,11th Grade,M,119.7,M,53.54
189,1678,2007 Outdoor Season                     ,12th Grade,M,119.26,M,51.9
190,1700,2004 Outdoor Season                     ,9th Grade,M,140.2,M,59.56
191,1708,2004 Outdoor Season                     ,11th Grade,M,122.94,M,54.38
192,1708,2005 Outdoor Season                     ,12th Grade,M,114.78,M,50.46
193,1710,2004 Outdoor Season                     ,12th Grade,M,140.54,M,49.32
194,1718,2003 Outdoor  Season                     ,11th Grade,M,122.67,M,51.34
195,1718,2004 Outdoor Season                     ,12th Grade,M,127.2,M,52.34
196,1721,2004 Outdoor Season                     ,10th Grade,M,157.4,M,62.12
197,1721,2005 Outdoor Season                     ,11th Grade,M,154.7,M,60.84
198,1722,2004 Outdoor Season                     ,10th Grade,M,149.0,M,64.2
199,1722,2005 Outdoor Season                     ,11th Grade,M,145.7,M,63.94
200,1803,2006 Outdoor Season                     ,12th Grade,M,133.15,M,53.43
201,1862,2006 Outdoor Season                     ,12th Grade,M,118.14,M,51.23
202,1865,2005 Outdoor Season                     ,10th Grade,M,132.3,M,54.44
203,1885,2005 Outdoor Season                     ,11th Grade,M,161.1,M,64.4
204,1894,2005 Outdoor Season                     ,11th Grade,M,138.0,M,56.3
205,1900,2004 Outdoor Season                     ,12th Grade,M,123.67,M,51.54
206,1901,2004 Outdoor Season                     ,9th Grade,M,137.08,M,59.17
207,1901,2005 Outdoor Season                     ,10th Grade,M,129.97,M,58.4
208,1908,2004 Outdoor Season                     ,12th Grade,M,138.21,M,62.51
209,1913,2004 Outdoor Season                     ,11th Grade,M,142.35,M,57.98
210,1915,2006 Outdoor Season                     ,11th Grade,M,144.35,M,63.9
211,1918,2005 Outdoor Season                     ,10th Grade,M,148.42,M,63.2
212,1918,2006 Outdoor Season                     ,11th Grade,M,143.6,M,66.7
213,1918,2007 Outdoor Season                     ,12th Grade,M,144.38,M,68.3
214,1921,2005 Outdoor Season                     ,11th Grade,M,149.6,M,64.5
215,1921,2006 Outdoor Season                     ,12th Grade,M,152.09,M,67.8
216,1957,2005 Outdoor Season                     ,10th Grade,M,130.48,M,59.1
217,1957,2007 Outdoor Season                     ,12th Grade,M,132.02,M,57.87
218,2009,2004 Outdoor Season                     ,12th Grade,M,121.17,M,53.94
219,2033,2006 Outdoor Season                     ,12th Grade,M,129.2,M,49.1
220,2039,2005 Outdoor Season                     ,10th Grade,M,119.4,M,53.8
221,2039,2006 Outdoor Season                     ,11th Grade,M,116.4,M,49.9
222,2039,2007 Outdoor Season                     ,12th Grade,M,118.7,M,51.3
