ID Number,Gender,Grade Level,Season,800 Meters
540,M,10th Grade,2005 Outdoor Season                     ,130.54
541,M,12th Grade,2005 Outdoor Season                     ,130.5
541,M,12th Grade,2005 Outdoor Season                     ,128.7
541,M,12th Grade,2005 Outdoor Season                     ,128.4
541,M,11th Grade,2004 Outdoor Season                     ,132.2
541,M,11th Grade,2004 Outdoor Season                     ,133.08
542,M,12th Grade,2005 Outdoor Season                     ,129.8
542,M,11th Grade,2004 Outdoor Season                     ,133.9
543,M,12th Grade,2007 Outdoor Season                     ,123.5
543,M,12th Grade,2007 Indoor Season                     ,126.3
543,M,11th Grade,2006 Outdoor Season                     ,120.9
543,M,11th Grade,2006 Outdoor Season                     ,123.3
543,M,11th Grade,2006 Outdoor Season                     ,138.25
543,M,11th Grade,2006 Outdoor Season                     ,124.4
543,M,11th Grade,2006 Outdoor Season                     ,123.6
543,M,11th Grade,2006 Outdoor Season                     ,121.91
543,M,11th Grade,2006 Outdoor Season                     ,121.34
543,M,10th Grade,2005 Outdoor Season                     ,120.75
543,M,10th Grade,2005 Outdoor Season                     ,122.3
543,M,10th Grade,2005 Outdoor Season                     ,122.8
543,M,10th Grade,2005 Outdoor Season                     ,120.8
543,M,10th Grade,2005 Outdoor Season                     ,118.6
543,M,9th Grade,2004 Outdoor Season                     ,131.8
543,M,9th Grade,2004 Outdoor Season                     ,126.48
543,M,9th Grade,2004 Outdoor Season                     ,124.8
544,M,12th Grade,2005 Outdoor Season                     ,138.43
544,M,12th Grade,2005 Outdoor Season                     ,138.83
544,M,12th Grade,2005 Outdoor Season                     ,140.2
544,M,12th Grade,2005 Outdoor Season                     ,139.5
544,M,12th Grade,2005 Outdoor Season                     ,139.24
544,M,11th Grade,2004 Outdoor Season                     ,145.12
544,M,11th Grade,2004 Outdoor Season                     ,144.1
544,M,11th Grade,2004 Outdoor Season                     ,140.0
544,M,11th Grade,2004 Outdoor Season                     ,139.93
544,M,11th Grade,2004 Outdoor Season                     ,136.0
554,M,11th Grade,2004 Outdoor Season                     ,150.71
554,M,11th Grade,2004 Outdoor Season                     ,147.0
558,M,10th Grade,2004 Outdoor Season                     ,135.77
560,M,12th Grade,2004 Outdoor Season                     ,134.4
560,M,12th Grade,2004 Outdoor Season                     ,134.03
560,M,12th Grade,2004 Outdoor Season                     ,133.69
560,M,12th Grade,2004 Outdoor Season                     ,126.6
566,M,12th Grade,2007 Outdoor Season                     ,132.79
566,M,11th Grade,2006 Outdoor Season                     ,135.3
566,M,9th Grade,2004 Outdoor Season                     ,155.3
566,M,9th Grade,2004 Outdoor Season                     ,153.4
609,M,12th Grade,2006 Outdoor Season                     ,131.34
609,M,12th Grade,2006 Outdoor Season                     ,134.96
609,M,12th Grade,2006 Outdoor Season                     ,125.64
609,M,12th Grade,2006 Outdoor Season                     ,125.16
609,M,12th Grade,2006 Outdoor Season                     ,128.9
609,M,12th Grade,2006 Outdoor Season                     ,128.22
609,M,11th Grade,2005 Outdoor Season                     ,138.1
609,M,11th Grade,2005 Outdoor Season                     ,136.2
609,M,10th Grade,2004 Outdoor Season                     ,142.8
609,M,10th Grade,2004 Outdoor Season                     ,140.0
624,M,10th Grade,2004 Outdoor Season                     ,131.7
624,M,10th Grade,2004 Outdoor Season                     ,128.4
624,M,10th Grade,2004 Outdoor Season                     ,128.16
624,M,10th Grade,2004 Outdoor Season                     ,127.62
624,M,10th Grade,2004 Outdoor Season                     ,133.6
624,M,10th Grade,2004 Outdoor Season                     ,125.49
625,M,11th Grade,2004 Outdoor Season                     ,131.28
625,M,11th Grade,2004 Outdoor Season                     ,127.1
625,M,11th Grade,2004 Outdoor Season                     ,126.99
625,M,11th Grade,2004 Outdoor Season                     ,127.58
625,M,11th Grade,2004 Outdoor Season                     ,131.8
625,M,11th Grade,2004 Outdoor Season                     ,126.84
625,M,10th Grade,2003 Outdoor  Season                     ,123.22
625,M,9th Grade,2002 Outdoor  Season                     ,125.43
651,M,12th Grade,2007 Outdoor Season                     ,139.2
651,M,12th Grade,2007 Outdoor Season                     ,132.48
651,M,12th Grade,2007 Outdoor Season                     ,131.77
651,M,12th Grade,2007 Outdoor Season                     ,134.25
651,M,11th Grade,2006 Outdoor Season                     ,134.78
651,M,11th Grade,2006 Outdoor Season                     ,139.1
651,M,11th Grade,2006 Outdoor Season                     ,132.6
651,M,11th Grade,2006 Outdoor Season                     ,132.56
651,M,10th Grade,2005 Outdoor Season                     ,141.72
651,M,10th Grade,2005 Outdoor Season                     ,139.7
651,M,10th Grade,2005 Outdoor Season                     ,137.3
651,M,10th Grade,2005 Outdoor Season                     ,140.3
651,M,10th Grade,2005 Outdoor Season                     ,139.9
651,M,10th Grade,2005 Outdoor Season                     ,140.3
651,M,10th Grade,2005 Outdoor Season                     ,135.82
651,M,9th Grade,2004 Outdoor Season                     ,146.4
651,M,9th Grade,2004 Outdoor Season                     ,145.7
651,M,9th Grade,2004 Outdoor Season                     ,142.83
651,M,9th Grade,2004 Outdoor Season                     ,144.1
651,M,9th Grade,2004 Outdoor Season                     ,138.6
651,M,9th Grade,2004 Outdoor Season                     ,135.4
651,M,9th Grade,2004 Outdoor Season                     ,147.9
651,M,9th Grade,2004 Outdoor Season                     ,135.8
651,M,9th Grade,2004 Outdoor Season                     ,138.7
652,M,12th Grade,2007 Outdoor Season                     ,138.6
652,M,11th Grade,2006 Outdoor Season                     ,131.5
652,M,11th Grade,2006 Outdoor Season                     ,136.2
656,M,12th Grade,2007 Outdoor Season                     ,136.4
656,M,12th Grade,2007 Outdoor Season                     ,128.4
656,M,12th Grade,2007 Outdoor Season                     ,126.9
656,M,12th Grade,2007 Outdoor Season                     ,130.32
656,M,12th Grade,2007 Outdoor Season                     ,128.7
656,M,11th Grade,2006 Outdoor Season                     ,131.9
656,M,11th Grade,2006 Outdoor Season                     ,127.7
656,M,11th Grade,2006 Outdoor Season                     ,125.19
656,M,11th Grade,2006 Outdoor Season                     ,124.8
656,M,11th Grade,2006 Outdoor Season                     ,129.3
656,M,11th Grade,2006 Outdoor Season                     ,127.4
656,M,11th Grade,2006 Outdoor Season                     ,125.53
656,M,11th Grade,2006 Outdoor Season                     ,123.8
656,M,11th Grade,2006 Outdoor Season                     ,128.7
656,M,11th Grade,2006 Outdoor Season                     ,128.66
656,M,11th Grade,2006 Outdoor Season                     ,123.07
656,M,9th Grade,2004 Outdoor Season                     ,147.1
656,M,9th Grade,2004 Outdoor Season                     ,148.3
657,M,12th Grade,2005 Outdoor Season                     ,142.5
657,M,12th Grade,2005 Outdoor Season                     ,137.37
657,M,12th Grade,2005 Outdoor Season                     ,136.5
657,M,12th Grade,2005 Outdoor Season                     ,132.83
657,M,12th Grade,2005 Outdoor Season                     ,145.6
657,M,12th Grade,2005 Outdoor Season                     ,131.6
657,M,12th Grade,2005 Outdoor Season                     ,131.5
657,M,12th Grade,2005 Outdoor Season                     ,130.6
657,M,12th Grade,2005 Outdoor Season                     ,131.17
657,M,11th Grade,2004 Outdoor Season                     ,140.7
657,M,11th Grade,2004 Outdoor Season                     ,140.3
657,M,11th Grade,2004 Outdoor Season                     ,133.8
657,M,11th Grade,2004 Outdoor Season                     ,135.5
657,M,11th Grade,2004 Outdoor Season                     ,137.4
657,M,11th Grade,2004 Outdoor Season                     ,132.0
657,M,11th Grade,2004 Outdoor Season                     ,136.68
657,M,9th Grade,2002 Outdoor  Season                     ,147.5
657,M,9th Grade,2002 Outdoor  Season                     ,156.0
657,M,9th Grade,2002 Outdoor  Season                     ,151.5
662,M,10th Grade,2002 Outdoor  Season                     ,146.1
662,M,10th Grade,2002 Outdoor  Season                     ,152.4
690,M,12th Grade,2004 Outdoor Season                     ,155.7
690,M,12th Grade,2004 Outdoor Season                     ,135.8
690,M,12th Grade,2004 Outdoor Season                     ,139.5
690,M,12th Grade,2004 Outdoor Season                     ,130.1
690,M,12th Grade,2004 Outdoor Season                     ,133.22
691,M,10th Grade,2004 Outdoor Season                     ,164.3
691,M,10th Grade,2004 Outdoor Season                     ,154.73
691,M,10th Grade,2004 Outdoor Season                     ,145.5
691,M,10th Grade,2004 Outdoor Season                     ,147.5
691,M,10th Grade,2004 Outdoor Season                     ,164.0
694,M,12th Grade,2009 Outdoor Season                     ,143.7
694,M,12th Grade,2009 Outdoor Season                     ,149.43
